Date,Price,Open,High,Low,Change
1/3/2006,8.0702,8.0682,8.0702,8.0682,0.00%
1/4/2006,8.068,8.0662,8.068,8.0655,-0.03%
1/5/2006,8.0657,8.063,8.0674,8.063,-0.03%
1/6/2006,8.0655,8.0648,8.0673,8.063,0.00%
1/9/2006,8.0641,8.0639,8.0659,8.062,-0.02%
1/10/2006,8.0645,8.0674,8.0699,8.062,0.00%
1/11/2006,8.068,8.0689,8.0709,8.065,0.04%
1/12/2006,8.0659,8.0669,8.0689,8.063,-0.03%
1/13/2006,8.0698,8.0682,8.0702,8.0677,0.05%
1/16/2006,8.0673,8.0654,8.0688,8.064,-0.03%
1/17/2006,8.0672,8.0659,8.0672,8.0659,0.00%
1/18/2006,8.0694,8.0684,8.0694,8.0684,0.03%
1/19/2006,8.0687,8.0686,8.0706,8.065,-0.01%
1/20/2006,8.0601,8.0629,8.0649,8.0581,-0.11%
1/23/2006,8.0634,8.0618,8.066,8.0609,0.04%
1/24/2006,8.0622,8.0609,8.0647,8.0597,-0.01%
1/25/2006,8.0629,8.0614,8.0629,8.0614,0.01%
1/26/2006,8.0625,8.0604,8.0643,8.06,0.00%
1/27/2006,8.0622,8.0594,8.0622,8.0594,0.00%
1/30/2006,8.0622,8.062,8.0622,8.062,0.00%
1/31/2006,8.0622,8.062,8.0622,8.062,0.00%
2/1/2006,8.0622,8.062,8.0622,8.062,0.00%
2/2/2006,8.0622,8.062,8.0622,8.062,0.00%
2/3/2006,8.0622,8.062,8.0622,8.062,0.00%
2/6/2006,8.0572,8.0544,8.0621,8.053,-0.06%
2/7/2006,8.0575,8.0552,8.059,8.055,0.00%
2/8/2006,8.055,8.0532,8.0579,8.0525,-0.03%
2/9/2006,8.0557,8.0544,8.0557,8.0518,0.01%
2/10/2006,8.0501,8.053,8.0549,8.0481,-0.07%
2/13/2006,8.0466,8.0545,8.057,8.0441,-0.04%
2/14/2006,8.0475,8.0461,8.0486,8.045,0.01%
2/15/2006,8.0557,8.0465,8.0485,8.0465,0.10%
2/16/2006,8.0488,8.0479,8.0492,8.0455,-0.09%
2/17/2006,8.049,8.0477,8.0507,8.046,0.00%
2/20/2006,8.048,8.0545,8.0555,8.045,-0.01%
2/21/2006,8.05,8.0469,8.05,8.0445,0.02%
2/22/2006,8.0476,8.0481,8.0515,8.0442,-0.03%
2/23/2006,8.0475,8.0474,8.0515,8.0455,0.00%
2/24/2006,8.043,8.0416,8.052,8.0405,-0.06%
2/27/2006,8.0407,8.0404,8.0515,8.038,-0.03%
2/28/2006,8.0404,8.0399,8.052,8.0379,0.00%
3/1/2006,8.037,8.0374,8.0402,8.0345,-0.04%
3/2/2006,8.0366,8.0379,8.0404,8.0341,0.00%
3/3/2006,8.0372,8.0341,8.0402,8.0341,0.01%
3/6/2006,8.037,8.037,8.0399,8.0343,0.00%
3/7/2006,8.0424,8.0409,8.0429,8.0347,0.07%
3/8/2006,8.048,8.0459,8.0492,8.0455,0.07%
3/9/2006,8.0493,8.0455,8.0494,8.0384,0.02%
3/10/2006,8.0505,8.0476,8.0505,8.0445,0.01%
3/13/2006,8.0505,8.0445,8.0522,8.0445,0.00%
3/14/2006,8.0478,8.0459,8.0478,8.0445,-0.03%
3/15/2006,8.0385,8.0372,8.0405,8.0357,-0.12%
3/16/2006,8.039,8.0334,8.0395,8.0334,0.01%
3/17/2006,8.0319,8.0294,8.0343,8.029,-0.09%
3/20/2006,8.0315,8.0234,8.0315,8.0225,0.00%
3/21/2006,8.028,8.0256,8.0314,8.0247,-0.04%
3/22/2006,8.0288,8.029,8.0319,8.0253,0.01%
3/23/2006,8.0283,8.028,8.0307,8.0257,-0.01%
3/24/2006,8.0299,8.028,8.0338,8.0272,0.02%
3/27/2006,8.0214,8.0245,8.0265,8.0194,-0.11%
3/28/2006,8.0212,8.0196,8.024,8.0184,0.00%
3/29/2006,8.0259,8.0255,8.029,8.0234,0.06%
3/30/2006,8.0253,8.0254,8.0274,8.0225,-0.01%
3/31/2006,8.0175,8.0165,8.0193,8.0148,-0.10%
4/3/2006,8.021,8.02,8.0259,8.0175,0.04%
4/4/2006,8.0171,8.0185,8.0213,8.0146,-0.05%
4/5/2006,8.011,8.0104,8.0171,8.0061,-0.08%
4/6/2006,8.008,8.0085,8.0115,8.0055,-0.04%
4/7/2006,8.0119,8.0055,8.0143,8.0055,0.05%
4/10/2006,8.0064,8.0024,8.0121,8,-0.07%
4/11/2006,8.011,8.0085,8.012,8.0065,0.06%
4/12/2006,8.0119,8.0104,8.0133,8.006,0.01%
4/13/2006,8.0185,8.0094,8.0257,8.0094,0.08%
4/14/2006,8.0165,8.016,8.0193,8.011,-0.02%
4/17/2006,8.0205,8.0142,8.0205,8.0125,0.05%
4/18/2006,8.024,8.0124,8.0245,8.0105,0.04%
4/19/2006,8.0135,8.0215,8.024,8.0091,-0.13%
4/20/2006,8.0135,8.0101,8.0155,8.0101,0.00%
4/21/2006,8.017,8.011,8.0219,8.011,0.04%
4/24/2006,8.0165,8.0169,8.0172,8.013,-0.01%
4/25/2006,8.012,8.0144,8.017,8.0095,-0.06%
4/26/2006,8.0183,8.02,8.0224,8.0155,0.08%
4/27/2006,8.0172,8.018,8.0199,8.0145,-0.01%
4/28/2006,8.0139,8.0149,8.0175,8.0114,-0.04%
5/1/2006,8.0139,8.0114,8.0139,8.0114,0.00%
5/2/2006,8.0139,8.0114,8.0139,8.0114,0.00%
5/3/2006,8.0139,8.0114,8.0139,8.0114,0.00%
5/4/2006,8.0139,8.0114,8.0139,8.0114,0.00%
5/5/2006,8.0139,8.0114,8.0139,8.0114,0.00%
5/8/2006,8.007,8.0065,8.0116,8.0045,-0.09%
5/9/2006,8.0052,8.0049,8.0139,8.0015,-0.02%
5/10/2006,8.0035,8.004,8.0042,8.0015,-0.02%
5/11/2006,8.004,8.0037,8.0051,8.0027,0.01%
5/12/2006,8.0065,8.0057,8.0086,8.002,0.03%
5/15/2006,8.008,7.9957,8.008,7.9955,0.02%
5/16/2006,8.003,8.0055,8.0159,8.0005,-0.06%
5/17/2006,8.001,8.0005,8.0069,7.9985,-0.02%
5/18/2006,8.0104,7.9985,8.019,7.9985,0.12%
5/19/2006,8.02,8.0079,8.0205,8.0075,0.12%
5/22/2006,8.026,8.02,8.0285,8.02,0.07%
5/23/2006,8.02,8.0235,8.026,8.0151,-0.07%
5/24/2006,8.02,8.0205,8.0278,8.0175,0.00%
5/25/2006,8.025,8.0175,8.0277,8.0175,0.06%
5/26/2006,8.025,8.0225,8.026,8.0187,0.00%
5/29/2006,8.0226,8.0257,8.0291,8.0201,-0.03%
5/30/2006,8.032,8.0259,8.032,8.0225,0.12%
5/31/2006,8.024,8.0163,8.0278,8.0163,-0.10%
6/1/2006,8.0204,8.0194,8.0266,8.0175,-0.04%
6/2/2006,8.023,8.0189,8.025,8.0189,0.03%
6/5/2006,8.0077,8.008,8.0225,8.0055,-0.19%
6/6/2006,8.0125,8.011,8.021,8.0088,0.06%
6/7/2006,8.017,8.0148,8.0215,8.0148,0.06%
6/8/2006,8.0185,8.0158,8.023,8.015,0.02%
6/9/2006,8.0112,8.0164,8.0225,8.0092,-0.09%
6/12/2006,8.016,8.016,8.0215,8.0134,0.06%
6/13/2006,8.023,8.0048,8.023,8.0013,0.09%
6/14/2006,8.0005,8.0035,8.0225,7.9985,-0.28%
6/15/2006,8.0009,7.9983,8.002,7.996,0.01%
6/16/2006,7.9983,7.9951,7.9983,7.9945,-0.03%
6/19/2006,8.0077,8.0002,8.0098,7.9993,0.12%
6/20/2006,8.0029,8.002,8.0225,8.0009,-0.06%
6/21/2006,8.001,7.9965,8.0013,7.9963,-0.02%
6/22/2006,7.9965,7.9959,7.9967,7.995,-0.06%
6/23/2006,7.9998,8.0001,8.0225,7.9978,0.04%
6/26/2006,8.002,8.0022,8.0042,7.9998,0.03%
6/27/2006,7.9985,7.9975,7.9995,7.9963,-0.04%
6/28/2006,7.9985,7.9979,7.999,7.9959,0.00%
6/29/2006,7.996,7.9976,7.9995,7.995,-0.03%
6/30/2006,7.9925,7.994,7.996,7.9905,-0.04%
7/3/2006,8.0002,7.991,8.0002,7.9899,0.10%
7/4/2006,7.9923,7.9919,8.0022,7.991,-0.10%
7/5/2006,7.996,7.9928,7.9964,7.9919,0.05%
7/6/2006,7.996,7.9935,7.9983,7.9896,0.00%
7/7/2006,7.9855,7.9915,7.996,7.983,-0.13%
7/10/2006,7.9892,7.989,7.9917,7.983,0.05%
7/11/2006,7.9915,7.9909,7.996,7.9865,0.03%
7/12/2006,7.996,7.989,7.998,7.9875,0.06%
7/13/2006,7.9924,7.9923,7.9963,7.9897,-0.05%
7/14/2006,7.9978,7.994,7.9978,7.989,0.07%
7/17/2006,7.9985,7.996,7.9985,7.9935,0.01%
7/18/2006,7.9985,7.9991,8.0045,7.9975,0.00%
7/19/2006,8.0035,8.0008,8.005,7.999,0.06%
7/20/2006,7.993,8.001,8.0035,7.9893,-0.13%
7/21/2006,7.9828,7.9905,7.993,7.9803,-0.13%
7/24/2006,7.9876,7.9829,7.99,7.9803,0.06%
7/25/2006,7.9877,7.9854,7.9895,7.9845,0.00%
7/26/2006,7.9845,7.9852,7.99,7.982,-0.04%
7/27/2006,7.975,7.982,7.983,7.9728,-0.12%
7/28/2006,7.971,7.984,7.985,7.9685,-0.05%
7/31/2006,7.97,7.9705,7.9753,7.9643,-0.01%
8/1/2006,7.9745,7.972,7.9758,7.9665,0.06%
8/2/2006,7.9705,7.9743,7.9745,7.967,-0.05%
8/3/2006,7.975,7.9737,7.9762,7.9735,0.06%
8/4/2006,7.978,7.9756,7.9782,7.9743,0.04%
8/7/2006,7.9685,7.969,7.9748,7.9646,-0.12%
8/8/2006,7.9729,7.9715,7.9748,7.9672,0.06%
8/9/2006,7.977,7.975,7.9815,7.9745,0.05%
8/10/2006,7.9708,7.9672,7.9708,7.9666,-0.08%
8/11/2006,7.9777,7.97,7.9777,7.97,0.09%
8/14/2006,7.984,7.9895,7.9905,7.983,0.08%
8/15/2006,8.0015,7.9915,8.0015,7.9915,0.22%
8/16/2006,7.9882,7.9811,7.9882,7.9745,-0.17%
8/17/2006,7.979,7.9745,7.979,7.9745,-0.12%
8/18/2006,7.9755,7.972,7.9765,7.9711,-0.04%
8/21/2006,7.9684,7.9673,7.977,7.9633,-0.09%
8/22/2006,7.9684,7.9656,7.9687,7.9641,0.00%
8/23/2006,7.9699,7.9678,7.9727,7.9659,0.02%
8/24/2006,7.9719,7.9698,7.9765,7.9674,0.03%
8/25/2006,7.9763,7.9699,7.9763,7.9694,0.06%
8/28/2006,7.9692,7.971,7.972,7.9682,-0.09%
8/29/2006,7.9623,7.9653,7.9695,7.9597,-0.09%
8/30/2006,7.9587,7.9582,7.9588,7.957,-0.05%
8/31/2006,7.9549,7.956,7.9585,7.9533,-0.05%
9/1/2006,7.9532,7.9574,7.9576,7.9525,-0.02%
9/4/2006,7.9405,7.947,7.9508,7.938,-0.16%
9/5/2006,7.941,7.9409,7.945,7.937,0.01%
9/6/2006,7.9443,7.9446,7.9515,7.9418,0.04%
9/7/2006,7.941,7.9483,7.9493,7.9409,-0.04%
9/8/2006,7.948,7.9552,7.9577,7.9455,0.09%
9/11/2006,7.9542,7.9455,7.9607,7.9455,0.08%
9/12/2006,7.9475,7.9527,7.9551,7.9455,-0.08%
9/13/2006,7.948,7.945,7.9532,7.945,0.01%
9/14/2006,7.946,7.9451,7.9463,7.9415,-0.03%
9/15/2006,7.9445,7.9434,7.9457,7.941,-0.02%
9/18/2006,7.9468,7.9406,7.9485,7.94,0.03%
9/19/2006,7.9362,7.9326,7.9362,7.9326,-0.13%
9/20/2006,7.9265,7.932,7.9322,7.9256,-0.12%
9/21/2006,7.9243,7.9239,7.9261,7.923,-0.03%
9/22/2006,7.917,7.9172,7.9177,7.916,-0.09%
9/25/2006,7.921,7.9171,7.9215,7.917,0.05%
9/26/2006,7.9105,7.9134,7.9172,7.9103,-0.13%
9/27/2006,7.9046,7.905,7.9067,7.9028,-0.07%
